id,name,category,price,imageUrl,description
1,Red Polo T-Shirt,Clothing,499,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Comfortable cotton polo t-shirt in red color
2,Blue Denim Jeans,Clothing,1299,https://images.unsplash.com/photo-1542272604-787c3835535d?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Classic blue denim jeans with stretch fit
3,Black Running Shoes,Footwear,2999,https://images.unsplash.com/photo-1542291026-7eec264c27ff?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Lightweight running shoes with cushion support
4,Leather Wallet,Accessories,799,https://images.unsplash.com/photo-1627123424574-724758594e93?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Genuine leather wallet with multiple card slots
5,Samsung Galaxy M34,Electronics,18999,https://images.unsplash.com/photo-1592899677977-9c10ca588bbd?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,6.5-inch AMOLED display with 6000mAh battery
6,Ceramic Coffee Mug,Home,299,https://images.unsplash.com/photo-1544787219-7f47ccb76574?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,350ml ceramic mug with comfortable handle
7,Baseball Cap,Clothing,499,https://images.unsplash.com/photo-1575428652377-a2d80e2277fc?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Adjustable baseball cap with breathable fabric
8,Stainless Steel Bottle,Accessories,599,https://images.unsplash.com/photo-1602143407151-7111542de6e8?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,1L stainless steel water bottle, leak proof
9,LED Desk Lamp,Home,1299,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Adjustable LED lamp with 3 brightness levels
10,Travel Backpack,Accessories,1999,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,30L waterproof backpack with laptop compartment
11,Wireless Earbuds,Electronics,2499,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Bluetooth 5.0 with 20 hours battery life
12,Cotton Socks Pack,Clothing,399,https://images.unsplash.com/photo-1534215754734-18e55d13e346?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Pack of 5 cotton socks in assorted colors
13,Non-Stick Fry Pan,Home,899,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,24cm non-stick frying pan with induction base
14,Analog Wrist Watch,Accessories,1599,https://images.unsplash.com/photo-1523275335684-37898b6baf30?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Water resistant watch with leather strap
15,Wireless Mouse,Electronics,699,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,Ergonomic wireless mouse with 2.4GHz receiver
16,Yoga Mat,Sports,899,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,6mm thick yoga mat with non-slip surface
17,Wooden Photo Frame,Home,499,https://images.unsplash.com/photo-1594069033310-4d1966385e63?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,10x12 inch wooden photo frame with glass
18,Sports Water Bottle,Sports,449,https://images.unsplash.com/photo-1602143407151-7111542de6e8?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,750ml BPA-free plastic sports bottle
19,Bluetooth Speaker,Electronics,3499,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?ixlib=rb-4.0.3&auto=format&fit=crop&w=500&h=600,20W portable speaker with RGB lights
